Make,YOM,Color,Used,Transmission,Mileage,Price,City
Nissan,2014,Black,Foreign Used,Automatic,136000.0,2050000,Nairobi
Nissan,2014,Silver,Foreign Used,Automatic,85000.0,1380000,Nairobi
Nissan,2013,Gray,Foreign Used,Automatic,90231.0,995000,Nairobi
Nissan,2014,White,Foreign Used,Automatic,52000.0,2500000,Nairobi
Nissan,2014,White,Foreign Used,Automatic,86532.0,1100000,Mombasa
Nissan,2014,Silver,Foreign Used,Automatic,86532.0,1150000,Nairobi
Nissan,2014,Black,Foreign Used,Manual,115000.0,1950000,Nairobi
Nissan,2015,White,Foreign Used,Automatic,62863.0,1050000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,86532.0,1900000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,66000.0,780000,Mombasa
Nissan,2014,Gray,Foreign Used,Automatic,88000.0,2800000,Mombasa
Nissan,2014,White,Foreign Used,Automatic,86532.0,1100000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,75000.0,655000,Nairobi
Nissan,2015,Black,Foreign Used,Automatic,86532.0,2550000,Nairobi
Nissan,2015,Black,Foreign Used,Automatic,86532.0,2550000,Nairobi
Nissan,2014,Silver,Foreign Used,Automatic,107000.0,1800000,Mombasa
Nissan,2015,Black,Foreign Used,Automatic,99568.0,1945000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,66000.0,1700000,Mombasa
Nissan,2013,Gray,Foreign Used,Automatic,52000.0,840000,Mombasa
Nissan,2014,Green,Foreign Used,Automatic,165000.0,1850000,Mombasa
Nissan,2014,Brown,Foreign Used,Automatic,76000.0,2100000,Nairobi
Nissan,2014,White,Foreign Used,Automatic,39000.0,2000000,Nairobi
Nissan,2014,Silver,Foreign Used,Automatic,86532.0,1150000,Nairobi
Nissan,2013,Black,Foreign Used,Automatic,62111.0,1200000,Nairobi
Nissan,2015,Black,Foreign Used,Automatic,99542.0,1380000,Mombasa
Nissan,2014,Silver,Foreign Used,Automatic,86532.0,1150000,Nairobi
Nissan,2014,Gray,Foreign Used,Automatic,89754.0,1899000,Nairobi
Nissan,2014,Silver,Foreign Used,Automatic,86532.0,1150000,Nairobi
Nissan,2014,Black,Foreign Used,Automatic,112758.0,1380000,Nairobi
Nissan,2014,Silver,Foreign Used,Automatic,81960.0,1400000,Mombasa
Nissan,2014,White,Foreign Used,Automatic,65324.0,1450000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,170000.0,2490000,Nairobi
Nissan,2014,Black,Foreign Used,Automatic,112758.0,1380000,Nairobi
Nissan,2014,White,Foreign Used,Automatic,63000.0,830000,Nairobi
Nissan,2015,Black,Foreign Used,Automatic,106818.0,1870000,Mombasa
Nissan,2014,Purple,Foreign Used,Automatic,89652.0,600000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,86532.0,1100000,Mombasa
Nissan,2014,White,Foreign Used,Automatic,119000.0,880000,Nairobi
Nissan,2014,Silver,Foreign Used,Automatic,86532.0,905000,Mombasa
Nissan,2013,Black,Foreign Used,Automatic,76320.0,1600000,Mombasa
Nissan,2014,White,Foreign Used,Automatic,63000.0,830000,Nairobi
Nissan,2015,Black,Foreign Used,Automatic,82688.0,1700000,Mombasa
Nissan,2014,Beige,Foreign Used,Automatic,124000.0,510000,Nairobi
Nissan,2015,Red,Foreign Used,Automatic,58855.0,790000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,63.0,770000,Mombasa
Nissan,2014,Brown,Foreign Used,Automatic,76466.0,2450000,Nairobi
Nissan,2014,Gray,Foreign Used,Automatic,56000.0,900000,Mombasa
Nissan,2013,Silver,Foreign Used,Automatic,102568.0,800000,Mombasa
Nissan,2014,White,Foreign Used,Automatic,145000.0,1200000,Nairobi
Nissan,2014,Black,Foreign Used,Automatic,56000.0,850000,Mombasa
Nissan,2014,Black,Foreign Used,Automatic,63.0,770000,Mombasa
Nissan,2014,Pearl,Foreign Used,Automatic,88000.0,800000,Mombasa
Nissan,1978,White,Foreign Used,Manual,254285.0,250000,Kiambu
Nissan,2014,White,Foreign Used,Automatic,86532.0,860000,Nairobi
Nissan,2014,White,Foreign Used,Automatic,68123.0,850000,Mombasa
Nissan,2012,White,Foreign Used,Automatic,65412.0,1300000,Mombasa
Nissan,2014,Orange,Foreign Used,Automatic,86532.0,1330000,Nairobi
Nissan,2014,Silver,Foreign Used,Automatic,86532.0,650000,Nairobi
Nissan,2014,Silver,Foreign Used,Automatic,65000.0,1550000,Mombasa
Nissan,2014,Red,Foreign Used,Automatic,133000.0,1600000,Mombasa
Nissan,2015,Gray,Foreign Used,Automatic,91280.0,1400000,Mombasa
Nissan,2014,White,Foreign Used,Automatic,30000.0,2200000,Mombasa
Nissan,2013,Orange,Foreign Used,Automatic,69000.0,730000,Mombasa
Nissan,2014,White,Foreign Used,Automatic,78000.0,800000,Nairobi
Nissan,2014,Black,Foreign Used,Automatic,111000.0,1280000,Nairobi
Nissan,2014,White,Foreign Used,Automatic,86532.0,610000,Mombasa
Nissan,2014,Gray,Foreign Used,Automatic,74214.0,1080000,Mombasa
